ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,2ms
測定点数,5000        
トリガ点,1                    
開始時刻,2015-10-05,14:24:11
終了時刻,2015-10-05,14:24:21
トリガ時刻,2015-10-05,14:24:11
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
87,2015/10/05,14:24:11,172000,+25.4,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
88,2015/10/05,14:24:11,174000,+25.7,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
89,2015/10/05,14:24:11,176000,+25.7,+102.2,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
90,2015/10/05,14:24:11,178000,+25.4,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
91,2015/10/05,14:24:11,180000,+25.0,+102.2,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
92,2015/10/05,14:24:11,182000,+25.3,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
93,2015/10/05,14:24:11,184000,+25.0,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
94,2015/10/05,14:24:11,186000,+25.4,+102.5,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
95,2015/10/05,14:24:11,188000,+25.6,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
96,2015/10/05,14:24:11,190000,+25.7,+102.4,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
97,2015/10/05,14:24:11,192000,+25.1,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
98,2015/10/05,14:24:11,194000,+25.6,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
99,2015/10/05,14:24:11,196000,+25.2,+102.3,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
100,2015/10/05,14:24:11,198000,+25.7,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
101,2015/10/05,14:24:11,200000,+25.4,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
102,2015/10/05,14:24:11,202000,+25.2,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
103,2015/10/05,14:24:11,204000,+25.1,+102.3,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
104,2015/10/05,14:24:11,206000,+25.7,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
105,2015/10/05,14:24:11,208000,+25.6,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
106,2015/10/05,14:24:11,210000,+25.7,+102.3,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
107,2015/10/05,14:24:11,212000,+25.7,+102.2,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
108,2015/10/05,14:24:11,214000,+25.5,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
109,2015/10/05,14:24:11,216000,+25.7,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
110,2015/10/05,14:24:11,218000,+25.4,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
111,2015/10/05,14:24:11,220000,+25.7,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
112,2015/10/05,14:24:11,222000,+25.3,+102.3,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
113,2015/10/05,14:24:11,224000,+25.3,+102.3,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
114,2015/10/05,14:24:11,226000,+25.1,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
115,2015/10/05,14:24:11,228000,+25.4,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
