ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,2ms
測定点数,453         
トリガ点,1                    
開始時刻,2015-10-05,14:24:04
終了時刻,2015-10-05,14:24:04
トリガ時刻,2015-10-05,14:24:04
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
113,2015/10/05,14:24:04,224000,+25.1,+102.1,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
114,2015/10/05,14:24:04,226000,+25.4,+102.5,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
115,2015/10/05,14:24:04,228000,+25.1,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
116,2015/10/05,14:24:04,230000,+25.1,+102.5,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
117,2015/10/05,14:24:04,232000,+25.6,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
118,2015/10/05,14:24:04,234000,+25.1,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
119,2015/10/05,14:24:04,236000,+25.2,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
120,2015/10/05,14:24:04,238000,+25.7,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
121,2015/10/05,14:24:04,240000,+25.6,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
122,2015/10/05,14:24:04,242000,+25.7,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
123,2015/10/05,14:24:04,244000,+26.1,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
124,2015/10/05,14:24:04,246000,+25.3,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
125,2015/10/05,14:24:04,248000,+25.7,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
126,2015/10/05,14:24:04,250000,+24.8,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
127,2015/10/05,14:24:04,252000,+25.5,+102.2,+60.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
128,2015/10/05,14:24:04,254000,+25.1,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
129,2015/10/05,14:24:04,256000,+25.4,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
130,2015/10/05,14:24:04,258000,+25.5,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
131,2015/10/05,14:24:04,260000,+25.6,+102.2,+60.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
132,2015/10/05,14:24:04,262000,+25.7,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
133,2015/10/05,14:24:04,264000,+25.4,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
134,2015/10/05,14:24:04,266000,+25.3,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
135,2015/10/05,14:24:04,268000,+25.3,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
